timestamp,location_id,device_count,signal_strength_dbm,latency_ms,throughput_mbps,packet_loss_percent,network_type,anomaly_flag
2025-07-20 21:42:51.405018,Mambakkam_Loc_4,14,-69.25880837377238,36.86950773421604,112.21994851028899,0.32514558490691475,5G_Mobile,0
2025-07-22 02:31:51.405018,Mambakkam_Loc_3,70,-79.47220591802832,14.637909181648734,308.21912501667225,0.6097536122306629,5G_Mobile,0
2025-07-22 06:38:51.405018,Mambakkam_Loc_12,29,-66.03632228840951,33.259268296172934,100.37970130020192,0.590523407370329,5G_Mobile,0
2025-07-19 02:20:51.405018,Mambakkam_Loc_7,87,-71.40466604238132,14.227374867559366,300.6208257911701,0.4201660924539452,5G_Mobile,0
2025-07-18 09:52:51.405018,Mambakkam_Loc_11,10,-74.21863086596865,34.8479899454623,134.99244514655965,0.749623138126661,LTE,0
2025-07-18 00:15:51.405018,Mambakkam_Loc_20,68,-69.09525204627191,14.83572625595861,168.37738617528518,0.6866859069119579,5G_Mobile,0
2025-07-22 01:30:51.405018,Mambakkam_Loc_10,24,-68.60215250992478,31.684285828696048,114.84126411918774,0.31666194225058186,5G_FWA,0
2025-07-19 08:04:51.405018,Mambakkam_Loc_16,35,-78.25824873855868,42.66206546011769,262.4961429064938,0.9190603626157012,5G_FWA,0
2025-07-23 06:37:51.405018,Mambakkam_Loc_9,13,-64.73574545566039,36.642170928094956,189.31893244485155,0.5162556659233433,5G_Mobile,0
2025-07-22 22:44:51.405018,Mambakkam_Loc_19,27,-62.17039192705698,22.409121402550216,497.83114693786683,0.6518029597576207,LTE,0
2025-07-22 07:52:51.405018,Mambakkam_Loc_7,19,-76.95441816988232,31.19556019613197,439.19146949773625,0.7998344461762216,LTE,0
2025-07-22 06:50:51.405018,Mambakkam_Loc_15,47,-78.34128434508459,30.83643641909893,244.50841627948517,0.6834118649008167,5G_FWA,0
2025-07-17 09:36:51.405018,Mambakkam_Loc_12,12,-75.14225820931048,34.118873457901216,395.97210615646617,0.973418389874062,5G_Mobile,0
2025-07-19 15:31:51.405018,Mambakkam_Loc_18,58,-60.56681346329674,11.655195822659085,124.48591597431165,0.1011894522995746,LTE,0
2025-07-17 18:13:51.405018,Mambakkam_Loc_18,29,-64.43900105255578,18.779286145442725,159.32875540717674,0.7262254971253255,5G_FWA,0
2025-07-19 14:07:51.405018,Mambakkam_Loc_13,34,-66.41959746241724,17.3631406886186,242.5966423856453,0.7946778861979388,LTE,0
2025-07-18 23:06:51.405018,Mambakkam_Loc_13,22,-72.60974870348575,38.30494983905143,89.70754062090208,0.679421892706639,LTE,0
2025-07-23 11:54:51.405018,Mambakkam_Loc_19,33,-73.21652554922358,30.390319715375725,441.06286829610707,0.21349962892327332,5G_FWA,0
2025-07-19 10:26:51.405018,Mambakkam_Loc_9,53,-79.93951185613668,15.963884683392244,432.0422668774619,0.12304964530927265,5G_FWA,0
2025-07-22 05:21:51.405018,Mambakkam_Loc_7,61,-68.8250676272112,49.7493255568924,204.26344922951796,0.990051149973566,5G_FWA,0
2025-07-23 09:51:51.405018,Mambakkam_Loc_14,43,-61.25810693197269,45.80592985301233,270.99376857226565,0.9129649723347737,LTE,0
2025-07-19 21:39:51.405018,Mambakkam_Loc_18,46,-66.52810299543637,17.49137202949572,256.1408565350322,0.2999468451320679,5G_FWA,0
2025-07-22 14:30:51.405018,Mambakkam_Loc_3,48,-70.28421158421686,26.398687088472244,378.18179792752477,0.9170296849531906,LTE,0
2025-07-18 19:40:51.405018,Mambakkam_Loc_8,20,-65.32480153927942,40.65504646363182,301.1599734559994,0.25079448533939525,LTE,0
2025-07-21 11:52:51.405018,Mambakkam_Loc_12,89,-77.67094015623613,40.56879642690383,187.81281970650573,0.7656439217372328,5G_FWA,0
2025-07-19 16:31:51.405018,Mambakkam_Loc_20,31,-63.22211161601685,39.554779950583196,156.7150635276298,0.8287074164355386,LTE,0
2025-07-23 03:17:51.405018,Mambakkam_Loc_8,31,-62.216780962949464,253.27251807939223,397.91586603531647,0.3174810500583357,5G_FWA,1
2025-07-23 08:15:51.405018,Mambakkam_Loc_14,73,-77.37090658162934,14.392792896598214,84.92119740146308,0.7224219514665838,5G_FWA,0
